date,sku_id,retailer,metric_name,metric_value
2025-10-19,SKU003,Target,cvr,3.521911084580961
2025-10-20,SKU003,Target,cvr,3.643605969027898
2025-10-21,SKU003,Target,cvr,3.604321790929191
2025-10-22,SKU003,Target,cvr,3.596867363923371
2025-10-23,SKU003,Target,cvr,3.557517773032719
2025-10-24,SKU003,Target,cvr,3.5206324281362913
2025-10-25,SKU003,Target,cvr,3.638399039640581
2025-10-26,SKU003,Target,cvr,3.588538110257549
2025-10-27,SKU003,Target,cvr,3.600195651578603
2025-10-28,SKU003,Target,cvr,3.543606448857061
2025-10-29,SKU003,Target,cvr,3.5179759054395365
2025-10-30,SKU003,Target,cvr,3.539547231925616
2025-10-31,SKU003,Target,cvr,3.5212798028481602
2025-11-01,SKU003,Target,cvr,3.6377477068020188
2025-11-02,SKU003,Target,cvr,3.627275971219276
2025-11-03,SKU003,Target,cvr,3.5326320764237695
2025-11-04,SKU003,Target,cvr,3.609273129792513
2025-11-05,SKU003,Target,cvr,3.5306721274263118
2025-11-06,SKU003,Target,cvr,3.588998370730212
2025-11-07,SKU003,Target,cvr,3.625907279787226
2025-11-08,SKU003,Target,cvr,3.5641396372053022
2025-11-09,SKU003,Target,cvr,2.278088374693286
2025-11-10,SKU003,Target,cvr,2.264405490233094
2025-11-11,SKU003,Target,cvr,2.30751624249444
2025-11-12,SKU003,Target,cvr,2.4613064711241357
2025-11-13,SKU003,Target,cvr,2.803855292090364
2025-11-14,SKU003,Target,cvr,2.86229206155523
2025-11-15,SKU003,Target,cvr,2.748677334224809
2025-11-16,SKU003,Target,cvr,2.8910071797965746
2025-11-17,SKU003,Target,cvr,2.735508489676732
